Site_num,Site_name,County,Lat,Long,green_pop,prop_identifier,prop_ownership,survey_date,data_source,notes,species,num_adult,num_juv_subad_yrling,num_hatchling,num_eggs,total_ANAE_or_PLME,nest
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,6/18/10,NCWRC,1 juv and 1 adult PLME.  Flourescent powder still bright,Southern Gray-cheeked Salamander,1,1,,,2,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/20/10,NCWRC,1 juvenile ANAE,Green Salamander,,1,,,1,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,9/10/10,NCWRC,1 PLME,Southern Gray-cheeked Salamander,1,,,,1,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,8/20/17,NCWRC ,1 PLME,Southern Gray-cheeked Salamander,,,,,1,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,8/5/11,NCWRC,"1 PLME , Burn study",Southern Gray-cheeked Salamander,1,,,,1,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,5/5/10,NCWRC,"1 sub-ad. ANAE; 3 GYPO, 1 PSRU, UV flourescent powder applied for nighttime tracking of movements; pink powder; see notebook for info on nighttime and predawn tracking; 5/5/10-5/7/10; other salamanders were surface active at night ~11 pm",Green Salamander,,1,,,1,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/9/20,NCWRC,2 ad ANAE on trailside part of rock,Green Salamander,2,,,,2,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/4/09,NCWRC,2 adult ANAE,Green Salamander,2,,,,2,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,3/16/12,NCWRC,2 adult ANAE,Green Salamander,2,,,,2,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,8/6/13,NCWRC,2 juv PLME,Southern Gray-cheeked Salamander,,2,,,2,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,4/27/15,NCWRC,2 PLME observed in unnamed rock along trail,Southern Gray-cheeked Salamander,2,,,,2,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/17/09,NCWRC,3 adult ANAE,Green Salamander,3,,,,3,FALSE
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,5/9/16,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/1/11,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/14/09,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,6/27/11,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/17/11,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/31/11,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,5/11/12,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,5/21/12,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,8/27/12,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/22/12,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/9/12,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,3/30/13,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,6/7/13,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/21/13,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/6/13,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,6/14/14,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,8/25/14,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/1/14,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/22/14,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/4/14,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,6/15/15,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,8/16/15,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,6/16/16,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,7/27/16,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,8/8/16,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/2/16,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/17/16,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/7/16,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,4/9/17,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,5/2/17,NCWRC ,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,7/19/17,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,7/31/17,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/1/17,NCWRC ,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/1/17,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,5/23/18,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,9/30/18,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,4/12/19,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,4/21/19,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,5/24/19,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,7/1/19,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,9/22/20,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/6/20,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/3/20,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,7/17/21,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/11/21,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,10/25/21,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,11/11/21,NCWRC,none found,,,,,,0,
59,Barn Trail-1B,Transylvania,35.175849,-82.615273,BRE,DuPont SRF,NCFS,8/16/10,NCWRC,none found,,,,,,0,
