system:index,20000708_spei1y,20010709_spei1y,20020709_spei1y,20030709_spei1y,20040708_spei1y,20050709_spei1y,20060709_spei1y,20070709_spei1y,20080708_spei1y,20090709_spei1y,20100709_spei1y,20110709_spei1y,20120708_spei1y,20130709_spei1y,20140709_spei1y,20150709_spei1y,20160708_spei1y,20170709_spei1y,20180709_spei1y,20190709_spei1y,20200708_spei1y,20210709_spei1y,new_flag1,.geo
00000000000000000005_0,-0.71,-0.8,-0.9,1.69,-0.1,2.09,-1.13,-0.39,-1.69,-0.32,1.01,-0.24,-0.54,1.45,0.24,-0.46,0.9,-0.03,1.01,2.09,1.28,1.69,2464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,1270,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,1339,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,1343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,1344,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,-1.28,-0.9,-1.01,1.45,-0.03,2.09,-0.24,-0.71,-1.45,-0.39,1.01,-0.1,-0.62,1.69,0.03,-0.46,-0.1,-0.24,1.01,2.09,0.9,0.8,1351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,-1.01,-0.8,-0.9,1.45,0.32,2.09,-0.46,-0.62,-1.28,-0.17,0.9,-0.1,-0.71,1.69,-0.03,-0.39,-0.1,-0.24,0.8,2.09,0.8,0.63,1353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,-0.8,-1.01,-0.9,1.69,0.39,2.09,-0.54,-0.62,-1.28,-0.1,0.9,-0.17,-0.71,1.45,-0.03,-0.39,-0.17,-0.46,0.71,1.69,0.63,0.47,1357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,-1.01,-0.8,-0.9,1.45,0.32,2.09,-0.46,-0.62,-1.28,-0.17,0.9,-0.1,-0.71,1.69,-0.03,-0.39,-0.1,-0.24,0.8,2.09,0.8,0.63,1358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,-1.28,-0.9,-1.01,1.45,-0.03,2.09,-0.24,-0.71,-1.45,-0.39,1.01,-0.1,-0.62,1.69,0.03,-0.46,-0.1,-0.24,1.01,2.09,0.9,0.8,1359,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,1360,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,1361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,1386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,-1.01,-0.8,-0.9,1.45,0.32,2.09,-0.46,-0.62,-1.28,-0.17,0.9,-0.1,-0.71,1.69,-0.03,-0.39,-0.1,-0.24,0.8,2.09,0.8,0.63,1402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,1411,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,-1.28,-0.9,-1.01,1.45,-0.03,2.09,-0.24,-0.71,-1.45,-0.39,1.01,-0.1,-0.62,1.69,0.03,-0.46,-0.1,-0.24,1.01,2.09,0.9,0.8,1424,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,-1.28,-0.9,-1.01,1.45,-0.03,2.09,-0.24,-0.71,-1.45,-0.39,1.01,-0.1,-0.62,1.69,0.03,-0.46,-0.1,-0.24,1.01,2.09,0.9,0.8,1660,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,-1.01,-0.8,-0.9,1.45,0.32,2.09,-0.46,-0.62,-1.28,-0.17,0.9,-0.1,-0.71,1.69,-0.03,-0.39,-0.1,-0.24,0.8,2.09,0.8,0.63,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,-1.28,-0.9,-1.01,1.45,-0.03,2.09,-0.24,-0.71,-1.45,-0.39,1.01,-0.1,-0.62,1.69,0.03,-0.46,-0.1,-0.24,1.01,2.09,0.9,0.8,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,2091,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,2276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,2281,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,2282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,2283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,2284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,2287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,2288,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,-1.28,-0.8,-0.9,1.45,-0.03,2.09,-0.46,-0.71,-1.45,-0.39,1.28,-0.17,-0.54,1.69,0.1,-0.24,-0.24,-0.39,1.13,2.09,1.13,1.13,2289,"{""type"":""MultiPoint"",""coordinates"":[]}"
